/Display_name,/Product_code,/Version
gir1.2-atk-1.0:amd64,,2.28.1-1
gir1.2-atspi-2.0:amd64,,2.28.0-1
gir1.2-dbusmenu-glib-0.4:amd64,,16.04.1+18.04.20171206-0ubuntu1
gir1.2-dee-1.0,,1.2.7+17.10.20170616-0ubuntu4
gir1.2-freedesktop:amd64,,1.56.1-1
gir1.2-gck-1:amd64,,3.28.0-1
gir1.2-gcr-3:amd64,,3.28.0-1
gir1.2-gdesktopenums-3.0:amd64,,3.28.0-1ubuntu1
gir1.2-gdkpixbuf-2.0:amd64,,2.36.11-2
gir1.2-gdm-1.0,,3.28.3-0ubuntu18.04.6
gir1.2-geoclue-2.0:amd64,,2.4.7-1ubuntu1
gir1.2-geocodeglib-1.0:amd64,,3.25.4.1-4
gir1.2-glib-2.0:amd64,,1.56.1-1
gir1.2-gmenu-3.0:amd64,,3.13.3-11ubuntu1
gir1.2-gnomebluetooth-1.0:amd64,,3.28.0-2
gir1.2-gnomedesktop-3.0:amd64,,3.28.1-1ubuntu1
gir1.2-goa-1.0:amd64,,3.28.0-0ubuntu2
gir1.2-gst-plugins-base-1.0:amd64,,1.14.5-0ubuntu1~18.04.3
gir1.2-gstreamer-1.0:amd64,,1.14.5-0ubuntu1~18.04.2
gir1.2-gtk-3.0:amd64,,3.22.30-1ubuntu1
gir1.2-gtksource-3.0:amd64,,3.24.7-1
gir1.2-gudev-1.0:amd64,,1:232-2
gir1.2-gweather-3.0:amd64,,3.28.1-1
gir1.2-ibus-1.0:amd64,,1.5.17-3ubuntu5.3
gir1.2-javascriptcoregtk-4.0:amd64,,2.32.4-0ubuntu0.18.04.1
gir1.2-json-1.0:amd64,,1.4.2-3
gir1.2-mutter-2:amd64,,3.28.1-1ubuntu1
gir1.2-nm-1.0:amd64,,1.10.6-2ubuntu1
gir1.2-nma-1.0:amd64,,1.8.10-2ubuntu1
gir1.2-notify-0.7:amd64,,0.7.7-3
gir1.2-packagekitglib-1.0,,1.1.9-1ubuntu2.18.04.6
gir1.2-pango-1.0:amd64,,1.40.14-1ubuntu0.1
gir1.2-peas-1.0:amd64,,1.22.0-2
gir1.2-polkit-1.0,,0.105-20ubuntu0.18.04.5
gir1.2-rb-3.0:amd64,,3.4.2-4ubuntu1
gir1.2-rsvg-2.0:amd64,,2.40.20-2ubuntu0.2
gir1.2-secret-1:amd64,,0.18.6-1
gir1.2-snapd-1:amd64,,1.49-0ubuntu0.18.04.2
gir1.2-soup-2.4:amd64,,2.62.1-1ubuntu0.4
gir1.2-totem-1.0:amd64,,3.26.0-0ubuntu6
gir1.2-totemplparser-1.0:amd64,,3.26.0-1ubuntu2
gir1.2-udisks-2.0:amd64,,2.7.6-3ubuntu0.2
gir1.2-unity-5.0:amd64,,7.1.4+18.04.20180209.1-0ubuntu2
gir1.2-upowerglib-1.0:amd64,,0.99.7-2
gir1.2-vte-2.91:amd64,,0.52.1-1ubuntu1
gir1.2-webkit2-4.0:amd64,,2.32.4-0ubuntu0.18.04.1
gir1.2-wnck-3.0:amd64,,3.24.1-2
git,,1:2.17.1-1ubuntu0.9
git-daemon-run,,1:2.17.1-1ubuntu0.8
git-el,,1:2.17.1-1ubuntu0.8
git-man,,1:2.17.1-1ubuntu0.9
github-desktop,,2.9.3-linux3
gitsome,,0.7.0-2
gitweb,,1:2.17.1-1ubuntu0.8
gjs,,1.52.1-1ubuntu1
gkbd-capplet,,3.26.0-3
glib-networking:amd64,,2.56.0-1ubuntu0.1
glib-networking-common,,2.56.0-1ubuntu0.1
glib-networking-services,,2.56.0-1ubuntu0.1
gnome-accessibility-themes,,3.28-1ubuntu1
gnome-bluetooth,,3.28.0-2
gnome-calendar,,3.28.1-1ubuntu2
gnome-control-center,,1:3.28.1-0ubuntu1
gnome-control-center-data,,1:3.28.1-0ubuntu1
gnome-control-center-faces,,1:3.28.1-0ubuntu1
gnome-desktop3-data,,3.28.1-1ubuntu1
gnome-disk-utility,,3.28.1-0ubuntu1
gnome-font-viewer,,3.28.0-1
gnome-getting-started-docs,,3.28.1-0ubuntu1
gnome-initial-setup,,3.28.0-2ubuntu6
gnome-keyring,,3.28.0.2-1ubuntu1
gnome-keyring-pkcs11:amd64,,3.28.0.2-1ubuntu1
gnome-mahjongg,,1:3.22.0-3
gnome-menus,,3.13.3-11ubuntu1
gnome-mines,,1:3.28.0-1
gnome-online-accounts,,3.28.0-0ubuntu2
gnome-power-manager,,3.26.0-1
gnome-screenshot,,3.25.0-0ubuntu2
gnome-session-bin,,3.28.1-0ubuntu2
gnome-session-canberra,,0.30-5ubuntu1
gnome-session-common,,3.28.1-0ubuntu2
gnome-settings-daemon,,3.28.1-0ubuntu1
gnome-settings-daemon-schemas,,3.28.1-0ubuntu1
gnome-shell,,3.28.1-0ubuntu2
gnome-shell-common,,3.28.1-0ubuntu2
gnome-shell-extension-appindicator,,18.04.1
gnome-shell-extension-ubuntu-dock,,0.9.1
gnome-software,,3.28.1-0ubuntu4
gnome-software-common,,3.28.1-0ubuntu4
gnome-software-plugin-snap,,3.28.1-0ubuntu4
gnome-startup-applications,,3.28.1-0ubuntu2
gnome-sudoku,,1:3.28.0-1
gnome-terminal,,3.28.1-1ubuntu1
gnome-terminal-data,,3.28.1-1ubuntu1
gnome-themes-extra:amd64,,3.28-1ubuntu1
gnome-themes-extra-data,,3.28-1ubuntu1
gnome-todo,,3.28.1-1
gnome-todo-common,,3.28.1-1
gnome-user-docs,,3.28.1-0ubuntu1
gnome-user-guide,,3.28.1-0ubuntu1
gnome-video-effects,,0.4.3-1ubuntu1
